tube_id,layer_id,sector_id,x,y,z,inner_radius,outer_radius,tube_length,angle,skewed
357,3,1,-19.2431,4.04,35,0.5,0.501,150,0,0
358,3,1,-19.2431,3.03,35,0.5,0.501,150,0,0
359,3,1,-19.2431,2.02,35,0.5,0.501,150,0,0
360,3,1,-19.2431,1.01,35,0.5,0.501,150,0,0
361,3,1,-19.2431,0,35,0.5,0.501,150,0,0
362,3,1,-19.2431,-1.01,35,0.5,0.501,150,0,0
363,3,1,-19.2431,-2.02,35,0.5,0.501,150,0,0
364,3,1,-19.2431,-3.03,35,0.5,0.501,150,0,0
365,3,1,-19.2431,-4.04,35,0.5,0.501,150,0,0
366,3,1,-19.2431,-5.05,35,0.5,0.501,150,0,0
367,3,1,-19.2431,-6.06,35,0.5,0.501,150,0,0
368,3,1,-19.2431,-7.07,35,0.5,0.501,150,0,0
369,3,1,-19.2431,-8.08,35,0.5,0.501,150,0,0
370,3,1,-19.2431,-9.09,35,0.5,0.501,150,0,0
371,3,1,-19.2431,-10.1,35,0.5,0.501,150,0,0
372,3,2,-19.2431,-11.11,35,0.5,0.501,150,0,0
373,3,2,-18.3684,-11.615,35,0.5,0.501,150,0,0
374,3,2,-17.4937,-12.12,35,0.5,0.501,150,0,0
375,3,2,-16.619,-12.625,35,0.5,0.501,150,0,0
376,3,2,-15.7443,-13.13,35,0.5,0.501,150,0,0
377,3,2,-14.8697,-13.635,35,0.5,0.501,150,0,0
378,3,2,-13.995,-14.14,35,0.5,0.501,150,0,0
379,3,2,-13.1203,-14.645,35,0.5,0.501,150,0,0
380,3,2,-12.2456,-15.15,35,0.5,0.501,150,0,0
381,3,2,-11.3709,-15.655,35,0.5,0.501,150,0,0
382,3,2,-10.4962,-16.16,35,0.5,0.501,150,0,0
383,3,2,-9.62154,-16.665,35,0.5,0.501,150,0,0
384,3,2,-8.74686,-17.17,35,0.5,0.501,150,0,0
385,3,2,-7.87217,-17.675,35,0.5,0.501,150,0,0
386,3,2,-6.99749,-18.18,35,0.5,0.501,150,0,0
387,3,2,-6.1228,-18.685,35,0.5,0.501,150,0,0
388,3,2,-5.24811,-19.19,35,0.5,0.501,150,0,0
389,3,2,-4.37343,-19.695,35,0.5,0.501,150,0,0
390,3,2,-3.49874,-20.2,35,0.5,0.501,150,0,0
391,3,2,-2.62406,-20.705,35,0.5,0.501,150,0,0
392,3,3,2.62406,-20.705,35,0.5,0.501,150,0,0
393,3,3,3.49874,-20.2,35,0.5,0.501,150,0,0
394,3,3,4.37343,-19.695,35,0.5,0.501,150,0,0
395,3,3,5.24811,-19.19,35,0.5,0.501,150,0,0
396,3,3,6.1228,-18.685,35,0.5,0.501,150,0,0
397,3,3,6.99749,-18.18,35,0.5,0.501,150,0,0
398,3,3,7.87217,-17.675,35,0.5,0.501,150,0,0
399,3,3,8.74686,-17.17,35,0.5,0.501,150,0,0
400,3,3,9.62154,-16.665,35,0.5,0.501,150,0,0
401,3,3,10.4962,-16.16,35,0.5,0.501,150,0,0
402,3,3,11.3709,-15.655,35,0.5,0.501,150,0,0
403,3,3,12.2456,-15.15,35,0.5,0.501,150,0,0
404,3,3,13.1203,-14.645,35,0.5,0.501,150,0,0
405,3,3,13.995,-14.14,35,0.5,0.501,150,0,0
406,3,3,14.8697,-13.635,35,0.5,0.501,150,0,0
407,3,3,15.7443,-13.13,35,0.5,0.501,150,0,0
408,3,3,16.619,-12.625,35,0.5,0.501,150,0,0
409,3,3,17.4937,-12.12,35,0.5,0.501,150,0,0
410,3,3,18.3684,-11.615,35,0.5,0.501,150,0,0
411,3,3,19.2431,-11.11,35,0.5,0.501,150,0,0
412,3,4,19.2431,-10.1,35,0.5,0.501,150,0,0
413,3,4,19.2431,-9.09,35,0.5,0.501,150,0,0
414,3,4,19.2431,-8.08,35,0.5,0.501,150,0,0
415,3,4,19.2431,-7.07,35,0.5,0.501,150,0,0
416,3,4,19.2431,-6.06,35,0.5,0.501,150,0,0
417,3,4,19.2431,-5.05,35,0.5,0.501,150,0,0
418,3,4,19.2431,-4.04,35,0.5,0.501,150,0,0
419,3,4,19.2431,-3.03,35,0.5,0.501,150,0,0
420,3,4,19.2431,-2.02,35,0.5,0.501,150,0,0
421,3,4,19.2431,-1.01,35,0.5,0.501,150,0,0
422,3,4,19.2431,0,35,0.5,0.501,150,0,0
423,3,4,19.2431,1.01,35,0.5,0.501,150,0,0
424,3,4,19.2431,2.02,35,0.5,0.501,150,0,0
425,3,4,19.2431,3.03,35,0.5,0.501,150,0,0
426,3,4,19.2431,4.04,35,0.5,0.501,150,0,0
427,3,4,19.2431,5.05,35,0.5,0.501,150,0,0
428,3,4,19.2431,6.06,35,0.5,0.501,150,0,0
429,3,4,19.2431,7.07,35,0.5,0.501,150,0,0
430,3,4,19.2431,8.08,35,0.5,0.501,150,0,0
